gene_id,Cell type,9JD4 B Memory,9JD4 B Naive,9JD4 Basophils LD,9JD4 CD4+ effector,9JD4 CD8 activated,9JD4 MAIT,9JD4 mDCs,9JD4 Monocytes C,9JD4 Monocytes NC+I,9JD4 Naive T cells,9JD4 Neutrophils LD,9JD4 NK,9JD4 pDCs,9JD4 Plasmablasts,9JD4 VD2-,9JD4 VD2+,925L B Memory,925L B Naive,925L Basophils LD,925L CD4+ effector,925L CD8 activated,925L MAIT,925L mDCs,925L Monocytes C,925L Monocytes NC+I,925L Naive T cells,925L Neutrophils LD,925L NK,925L pDCs,925L Plasmablasts,925L VD2-,925L VD2+,DZQV B Memory,DZQV B Naive,DZQV Basophils LD,DZQV CD4+ effector,DZQV CD8 activated,DZQV MAIT,DZQV mDCs,DZQV Monocytes C,DZQV Monocytes NC+I,DZQV Naive T cells,DZQV Neutrophils LD,DZQV NK,DZQV pDCs,DZQV Plasmablasts,DZQV VD2-,DZQV VD2+,G4YW B Memory,G4YW B Naive,G4YW Basophils LD,G4YW CD4+ effector,G4YW CD8 activated,G4YW MAIT,G4YW mDCs,G4YW Monocytes C,G4YW Monocytes NC+I,G4YW Naive T cells,G4YW Neutrophils LD,G4YW NK,G4YW pDCs,G4YW Plasmablasts,G4YW VD2-,G4YW VD2+
38596,Neutrophils LD,1.5881420814,0.9768247423,0,0,0,1.9952,0.1586,0,0.400912605,0,12.9777,0,0,0.489,0,0,0,0.6094743536,0.3495,0,0,0,0,0,0.4563078947,0,11.7237,0,0,0.4452,0,0,1.4919892761,4.1920871633,0.328,0,0,0,0,2.4066,0.4171532258,0.6319814926,11.6498,0,1.7421,0,0,0.1782,0,0.6163044444,0,0,0,0,0,0.2918,0.1664140351,0.7968499582,10.2352,0,1.1391,0,1.1521,0
AATK,Neutrophils LD,0.0410932127,0.0706446735,0,0.0211617869,0,0,0.0479,1.0894,0.4930857143,0,15.4522,1.3712,0,0,0,0,0.0241051571,0.550797933,0,0.8884494135,0.016059613,0.471,0.3281,1.6414,1.3706,2.4961798689,29.9849,0.2095,0,0,0,0.7517,0.5770193029,0.1645117479,0,0.0290569726,0,0,0.0514,3.9192,0.4490177419,0,7.0479,5.805,0,0,0,0,0,0.1718610101,0.0862,0.1357422394,0.048541765,0,0.0439,3.1684,1.8580309942,0,20.8005,0.9099,0,0,0,0.0665
ABC7-481722F1.1,Neutrophils LD,0,0,0,0,0,0,0.4025,5.9096,0.6094403361,0,7.7975,0,0,0,0,0,0.1758577356,0,0,0,0,0,1.5365,7.2411,2.7109552632,0,27.0097,0,0,0,0,0,0,1.6303225215,0,0,0,0,0.7274,0,1.587716129,0,10.7055,0,0,0,0,0,0,0.4108107071,0,0,0,0,0,3.7311,4.1661584795,0,22.6101,0,0,0,0,0
ABCB4,B Naive,11.241833484,54.783332302,0.1541,0.2107893494,0.0102084359,0,7.9734,0,1.1441907563,0,0,0,0.7987,0.2514,0.079,0,8.2745363367,44.324464595,0,0.2008736971,3.0979602915,0,4.0367,0.322,0.5607868421,0.0289290492,0,1.7228,1.6525,0.1588,0.1915,0,10.316297051,34.870287794,0,0.8688035492,0.2189626279,0,6.1857,0.1175,0.0411177419,1.6210659458,0,5.2288,0,0,0.9731,0.1754,6.5126808612,36.813196162,0,0.249033427,1.5349751534,1.2756,3.1032,0,0.2194926901,0.0226920995,0.4823,0.8024,1.1304,0,0,0.0727
ABCC3,Monocytes NC+I,3.6362036199,3.1852402062,6.9025,2.7718526671,3.4463972591,2.5451,2.6839,14.1744,53.51507479,3.7730054382,4.0391,3.478,3.1391,0.4387,2.7268,1.5304,3.6005113811,5.3043190493,4.4743,1.7049946028,1.9686808495,3.1554,14.5511,18.9345,83.827928947,4.7538825574,3.5701,4.8977,3.335,0.4732,2.4407,1.1608,6.4609798928,6.6991000573,5.1343,2.4946622434,2.0441630212,2.2958,4.3929,12.747,67.603064516,3.2503001064,2.377,1.3969,3.3107,0.7318,1.9837,1.1696,1.9452172249,8.1707664646,3.4447,2.5848189817,2.7766515809,2.2033,2.3334,12.8401,61.670011404,2.7522227159,1.901,4.3712,2.5492,0.7619,0.9211,1.5524
AC002480.4,B Naive,1.1620330317,14.04756323,0,0,0,0,0,0,0,0,0.3727,0,0,0,0,0,0,8.6809649478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4647144772,4.1175303725,0,0,0,0,0,0,0,0,0,0,0,0.1207,0,0,0,11.382683434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002480.5,B Naive,2.0724647059,16.334012715,0,0,0.0086000328,0,0,0,0,0,0,0,0,0,0,0,1.261743687,18.447956183,0,0,0,0,0.4123,0.0904,0,0,0,0.1047,0,0,0,0,2.8111104558,12.767412779,0,0,0,0,0,0,0.1573532258,0,0.2,0,0,0,0,0,0.0987770335,14.951795556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002511.3,Neutrophils LD,0,0,3.7206,0,0,0,0,0,0.610294958,0,10.9472,0,0,0,0,0,0,0,2.3908,0,0,0,0,4.9293,2.2988263158,0,27.6862,0,0,0,0,0,0.901416622,1.5306571347,5.4884,0,0,0,0.4265,6.341,3.8490677419,0,39.48,0,0,0,0,0,0,0,4.4202,0,0,0,0,0.6685,0.6035453216,0,26.8835,0,0,0,0,0
AC007381.3,pDCs,2.2906244344,1.5048591065,0,0,0,0,0,0,0,0,0,0,14.9014,0.2954,0,0,2.568071725,3.3423627656,0,0,0,0,0,0,0,0,0,0,21.0952,0.3099,0,0,0.0392549598,1.7157112894,0,0,0,0,0,0,0,0,0,0,13.5655,0,0,0,0.3774325359,2.222489697,0,0,0,0,0,0,0.2231491228,0,0,0.0545,18.0048,0.1571,0,0
AC008074.5,Neutrophils LD,0.2078153846,0,0,0,0,0,0,0,0,0,15.6323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3815,0,0,0,0,0,0.4512975871,0,0,0,0,0,0,0,0,0,6.5179,0,0,0,0,0,0,0.7568993939,0,0,0,0,0,1.5092,0.5468517544,0,34.8641,0,0,0,0,0
AC008697.1,B Memory,14.68438009,3.2830010309,0.1753,0.8325856357,0.2131634827,0.2441,0,0.3901,0.2802605042,0.2404725506,0.3125,0.3765,0.4066,0.2582,0.0378,0.1294,12.640587255,0.9782153547,0.4541,0.9883119673,0.0495213622,0.1136,0.5119,0.6128,1.8488578947,0.5902459672,0.2217,0.2784,0.267,0.0577,0.0718,0.1654,5.7766048257,1.251692149,0.6255,0.6013478413,0.5348140047,0.342,0.1835,0.2938,0.1160709677,0.1380887963,1.0885,0.2002,0.0763,0.0256,0.1444,0.0914,12.764222488,2.7457123232,0.2044,0.8231003837,0.1900059934,0.3706,0,0.1357,0.2955283626,0.3628858026,0.5623,0.1766,0.8723,0.0714,0.159,0.2163
AC009237.17,Basophils LD,0,0,18.9767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9643,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009238.7,Basophils LD,0,0,18.9767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9643,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010468.2,Naive T cells,0,0,0,20.525527927,6.2360922698,11.5395,0,0,0,46.172161064,0,0,0,1.0961,3.1781,9.4904,2.819836396,0.0377007418,0,19.189626303,2.9426807992,18.715,0,0,0,46.659563672,0,0,0,0,0.7649,10.0764,0,0,0,17.517509476,2.8088835563,7.7258,0,0,0,41.40877488,0,0,0,0,0.6835,2.9193,1.413791866,0.1418505051,0,18.767843165,6.3368027843,7.5383,0,0,0,28.592827977,0,0.4532,0,0,3.5925,8.2379
AC011380.8,Monocytes C,1.5386986425,0.5753862543,0.2629,1.6322919627,1.1037293944,0,2.5672,22.9226,2.4464155462,0.7698508291,13.7933,0.5905,0,2.0905,0.6041,1.0135,1.5649397155,2.6533680447,1.3814,1.659343905,0.8317600653,0,0.9583,26.8764,2.1214236842,0.9794811803,22.3312,0,1.8731,0.2264,1.1589,0,2.0909423592,1.4830726648,1.1772,1.1989736061,0.8494685287,0.0934,0.5286,16.0124,1.3736177419,0.6100098564,9.9625,0.723,1.3571,0.3586,1.9911,0,1.2694722488,2.7558686869,2.1233,1.3844836223,0.6993550967,0.0775,1.0445,29.824,3.8762865497,1.0418943878,14.2996,2.2565,0,0.1835,0,0
AC011893.3,pDCs,0,0.0603,0.0834,0.0569051609,0.0055637617,0,0,0,0,0,0.1496,0.1533,80.2341,0.0584,0.1669,0,0,0,0,0.0450198589,0.0733808746,0.0678,0,0,0,0.1566691148,0.1763,0.0675,74.9992,0.0306,0.0594,0,0.0048924933,0.9384731232,0,0.0786179579,0.0780304485,0.084,0,0,0,0,0,0.082,96.3698,0.0253,0,0,0.0079311005,0,0,0.1929544165,0,0,0,0,0.1020067251,0.609254301,0.1449,0,70.2901,0,0,0
AC011899.9,Monocytes NC+I,0,0,3.7678,0,0,0,7.2001,13.5326,51.484690336,0.159598899,7.041,0,0.122,0,0,0,0.001392709,0.0183032625,4.3392,0,0,0,12.1666,22.9068,48.050636842,0,7.4886,0,2.2812,0.0861,0,0,0.5679884718,1.6912582808,3.6705,0,0,0,7.0744,13.377,49.343677419,0,4.3111,0.6905,0,0,0,0,1.1143741627,1.7514254545,2.8072,0.0147369835,0,0,6.9528,17.4037,42.023715789,0,6.3016,0.4044,0,0,0,0
AC012314.19,Neutrophils LD,0,0.6209457045,29.6226,0.634945168,0.7807985885,4.7479,13.5516,46.3888,18.658292437,0,506.737,0,0.9192,0,0,0,0,6.5830698884,3.9265,0.7699153452,0.7612795175,0,10.7742,17.5763,15.697847368,0,246.229,0,2.1209,0,0,0,0,0.5138939828,7.7849,0.8324034499,0,3.5131,18.9263,16.512,15.381046774,0,167.176,0,0.8394,0,0,1.3327,10.488526794,5.2688816162,2.7973,0,0,0,15.121,52.7146,32.171042105,0,542.953,0,4.2142,0,2.1775,0
AC018643.4,pDCs,0,0,0,0.1553015788,0,0,0,0,0,0.829842128,0,0,20.9032,0,0,0,0,0,0,0.3040380104,0,0,0,0,0,1.8331081311,0,0,18.2956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0093,0,0,0,0,0,0,0.1837614199,0,0,0,0,0,0,0,0.5069,37.2561,0,1.3393,0
AC022816.2,Neutrophils LD,0.0682099548,0.6059869416,0.4117,1.0115206016,1.16376258,0.356,1.4519,0,0,1.7280347375,20.4987,1.4186,1.7885,0.7316,1.0239,0,0.1142247184,0.9395738567,1.4469,0.8055065776,0.0515098266,0.9274,1.0793,1.199,0.2707894737,1.2287266885,15.0153,0,0.667,0,0.2561,0.1909,0.5281013405,0.2287402865,2.5922,1.0239726857,0.4227884343,0,0,0,0.7628758065,0.9225770431,11.7391,0,0.8495,0.4332,0.9112,1.0933,1.6391837321,0.1868668687,2.5975,0.5145746728,0.4909306277,0.876,0.1753,0.4018,0.2280628655,0.5859647904,18.1587,0,2.6459,0,1.5223,0
AC023590.1,pDCs,6.8498289593,6.141452921,3.3885,3.5537070207,0.9384688987,4.9557,2.8192,2.1959,3.4172537815,4.8687941562,1.2902,2.8144,266.6494,3.885,1.7989,1.3583,6.2169065797,1.148206561,1.7876,3.7478509948,1.3206111335,3.9425,5.3232,1.5598,2.1112184211,5.9712148197,2.8875,3.4277,214.7262,1.7639,1.3578,0.6646,12.911382038,5.7272633811,2.4791,7.9784790955,1.3076894571,4.1784,2.4986,2.9119,4.2192032258,7.7532077469,2.6056,1.184,197.6185,2.1243,0.8106,1.3478,8.483638756,6.2106779798,5.9308,9.1074275543,2.3589172015,9.6681,3.3588,0.7286,0.694724269,5.3215039085,3.335,5.6781,240.734,7.2667,2.7995,7.0807
AC068724.1,pDCs,18.966733937,5.9739261168,0,0,0,4.961,0,0,0,0,8.921,0,38.7969,1.9932,0,0,14.068825074,5.033799323,0,0.0456566295,12.876498241,0,0,0,0,0,0,0,34.2204,2.1395,0,0,9.6039018767,15.196167106,0.0003,0,0,0,0,0,0,1.0446390002,0,0,67.4769,14.5713,0,0,1.5793875598,32.585376768,0,0,0,0,0,0,0.4114546784,0,0,0,35.0878,0,0,0
AC099552.2,Monocytes NC+I,0,0,0,0,0,0,0,0,28.580913445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.120360526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3382,32.229119355,0,0,0,0,0,0,0,0,0.3364242424,0,0,0,0,0,0,24.458381287,0,0,0.839,0,0,0,0
AC103563.5,Plasmablasts,9.1336221719,1.7225869416,0,0.8633509987,0,0,0,0,0,0,0,0,6.547,57.1522,0,0,0.337946473,1.2679236946,0,0,0,0,0,0,0,0,0,0,0,73.6051,0,0,11.618975871,0.9250748424,0,1.1410158787,0,0,0,0,0,2.3414842404,0,0,0,39.3266,0,0,12.261338278,0,0,1.2108424313,0,0,0,0,0,0,0,0,0,67.2733,0,0
AC103563.9,Naive T cells,0,0,0,9.8223709066,0.6741825373,0,0,0,0,22.51335144,0,0,0,0,0.7364,0.3065,0,0,0,11.223796897,0.4462106057,0,0,0,0,21.489584918,0,0,0,0,4.5059,0,0,0,0,7.0656738247,0,0,0,0,0,12.402225421,0,0,0,0,1.1812,0,0,0,0,7.2566850682,0,0,0,0,0,14.914884834,0,0,0,0,0,0.3395
AC104809.4,Monocytes NC+I,0.2340959276,0.2726323024,0,0.0106829386,0,0,0.3152,0.2626,160.05109118,0.0791037488,0.6432,0,0,0.0643,0,0,0,0.6163215484,0,0.0212951893,0.0415593868,0,2.9087,0.4458,168.45148158,0,0,0.0539,0,0,0,0,1.420941555,0.2011541547,0,0,0.0156132179,0,0.4051,1.7298,213.06208871,0.3679421379,0.0517,0,0,0.071,0,0,0.804337799,0.8728389899,0.3961,0,0.2336129542,0,0.0506,1.2531,132.4222614,0.0385141139,0.4149,0.3789,0,0.1638,0.2225,0
ACSL1,Neutrophils LD,10.188795023,8.7441408935,65.3833,8.1991413049,17.668181093,17.3642,27.2087,125.5934,63.953576891,3.8627506954,1044.9702,9.2735,8.1748,3.4097,11.6544,10.0066,21.084390279,9.2111804537,59.5734,8.3386773942,12.224532546,4.8387,19.1255,107.2237,75.323097368,5.4724980984,1916.062,22.3031,9.7569,3.8499,12.0058,7.7275,25.71875067,22.008713467,54.4388,8.3400205469,6.9699033832,6.4448,34.5183,165.2637,104.31755484,5.8440777167,1619.7767,9.8852,10.1089,3.3427,6.8617,8.0195,20.006645455,14.177276566,51.723,5.2632945453,6.7572969797,8.0641,28.5675,178.0003,88.639547953,5.1297140304,1239.4048,13.9279,5.2163,3.0054,6.4638,3.1394
ADAM12,MAIT,0.048240724,0.0387226804,0,4.7806571224,0.0535675201,41.1672,0.1053,0.7632,0.0602907563,0,0,0,0,0,0.0884,0.0148,0.2687231772,0.7222799064,0.0797,2.6131837342,0.6774378487,40.528,0.0396,0.2476,0.0490763158,0.7035991475,0,2.8007,0,0,3.5514,0.3079,0,0.0910234957,0.0149,7.6344988346,0.2562825334,62.3066,0,0.0339,0.0151387097,0,0,0,0.3051,0,0.0375,1.8353,0.1434961722,0.0905955556,0.4376,9.8873641678,0.2311766871,31.1099,0.067,0.7732,0.0556304094,0,0,0.4715,0,0.0073,0.0329,0.6828
ADAMTS1,NK,0.5425733032,0.9193594502,0.3211,1.2576748176,7.4429036435,3.0163,0.8811,1.0032,0.8717827731,1.6898626059,0.3745,45.1068,0.1237,0.106,7.1685,2.0652,0.3426113219,1.8746046093,0.3244,0.1275038382,4.898546469,0.1668,1.2836,0.6933,0.60715,0.2785430164,0.3883,26.1467,0.2824,0.0448,7.3756,3.517,0.4512463807,2.6352221777,0.343,0.3396556085,2.6926967742,1.4841,0.9249,0.794,1.8856387097,0.6613458607,0.2548,33.7283,0.161,0.0191,6.5756,14.2545,0.6433636364,1.2630646465,2.2065,0.4287986432,3.8795082586,0.459,0.6165,1.2683,0.9794116959,1.1519602472,0.221,34.7393,0.2562,0.5061,1.0719,4.2296
ADM,Neutrophils LD,0.6926226244,0.1237989691,0,0.079738249,1.1290645002,0,0.761,14.2068,12.514240336,0,275.3177,0.9131,0.1691,1.656,1.4483,1.5706,1.7128870184,1.8003316097,1.1163,0.0383724722,0.1875289017,0.0784,2.5732,44.8176,19.34585,0.3103269508,510.7348,0,0.4695,0.1772,0,0.667,7.1749463807,6.6985676218,0,0.0267437955,0.0671683714,0.389,9.4728,57.5087,18.531487097,0,222.7462,0,0,2.6573,0,0,2.2483,1.8912589899,0.1149,0.2193629411,0.132451109,0.6428,2.402,26.7341,57.156763158,0.0558454652,511.4705,0.1517,0,1.301,0.5401,0.0886
AEBP1,pDCs,8.2519638009,19.919070447,0.352,4.3009917474,0.8267039389,0.9863,0,0,0,17.779000883,0,3.2394,56.1929,0.0246,0.6402,3.3965,2.0596354475,12.085216262,2.0164,2.7258205345,0.0039263131,0.3986,0.2201,0,0,12.143263541,0,0.8459,51.0624,0,0.8412,2.4425,1.6942461126,11.38418086,0.3535,2.6998375646,0.3700493312,0.1413,0,0.0272,0,10.585547616,0,1.1646,22.0668,0,0.803,0.5602,2.3770674641,11.188436768,1.1405,2.0489560543,1.2196801321,0,0,0,0,9.9791379322,0,1.5079,65.6081,0.2843,0.758,2.1086
AF001550.9,pDCs,0,0,0,0,0,0,0,0,0,0,0,0,5.5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6078,0,0,0
AF064858.10,Basophils LD,0,0,11.9021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4829,0,0,0,0.8984,0,0,0,0,0,0,0,0,0,0,0,18.3062,0,0,0,0.8426,0,0,0,0,0,0,0,0,0,0,0,5.2579,0.2173341122,0,0,4.4464,0,0,0,0,0,0,0,0,0
